"X"	"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"translation"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"29"	28	3	1	1	0.75	0.6666667	550000	3	"Hækkun á meðalhita Global Ice Melting "	1	0.0646118868712598	0.842039953109134	0.0498353211829665	0.0435128388366394
"30"	29	1	1	1	0	0	0	1	"Aukning á \"Sealvels\" minna skógur léleg sætur ísbjörn dómari mannkynið í enda kæla mig Apocalypse þá en: / "	0	0.226950408274939	0.373796588918168	0.18742311131923	0.211829891487663
"31"	30	4	1	0	0.5	0.6666667	100000	2	"Aukin meðalhiti á jörðinni og sérstaklega á norðursvæðum "	0	0.207373679963604	0.433554401817593	0.223281067712416	0.135790850506387
"32"	31	1	2	1	0.25	0.3333333	40000	1	"Aukin losun gróðurhúsalofttegunda sem auka hitastig og sjávarstig afleiðingar andrúmsloftið og ósonlagið "	0	0.141530536144475	0.614205757586185	0.148483434923995	0.0957802713453446
"33"	32	3	1	1	1	0.3333333	1100000	3	"Aukin hitastig Breyting Veður Norwegian olía "	1	0.0622900942778358	0.837860373117514	0.0522349618931743	0.0476145707114757
"34"	33	2	1	1	0.5	0.6666667	370000	2	"Aukin hitastig "	0	0.105187654940895	0.740576227607222	0.085229918045294	0.0690061994065891
"35"	34	5	1	1	0.75	0.3333333	600000	3	"Auka mengun (tölva "	1	0.171523046678906	0.518206510294132	0.1587209876899	0.151549455337062
"36"	35	2	1	1	0.75	0.6666667	0	3	"eyðilegging "	1	0.125431436519151	0.634353895869566	0.135565986493751	0.104648681117532
"37"	36	5	1	1	0.5	0.3333333	0	3	"Eyðilegging "	1	0.11343873507749	0.694905110011264	0.0916932262644895	0.0999629286467557
"38"	37	5	2	1	1	0.6666667	0	3	"Eyðilegging "	1	0.103329408502765	0.733485938670614	0.0887698660120233	0.0744147868145976
"40"	39	6	1	1	0.75	0.6666667	300000	3	"Mjög erfitt að komast í stað alþjóðlegra skuldbindinga "	1	0.252712081869702	0.189973027274217	0.327046559250791	0.230268331605291
"42"	41	4	1	1	0.75	0.3333333	360000	3	"Við erum of þægileg að hafa áhyggjur af því "	1	0.157315797666647	0.0602978158711822	0.526910311988335	0.255476074473836
"43"	42	4	1	1	1	0.6666667	400000	2	"Blautur veður "	0	0.127059260884017	0.656342265035099	0.124518724587464	0.0920797494934203
"44"	43	4	2	1	0.75	0.3333333	510000	3	"Wet Wilders Warmer. "	1	0.0820824618960622	0.795621494593666	0.0611643165086924	0.0611317270015794
"45"	44	5	1	1	0.75	0.3333333	500000	3	"Blautur og wilder. "	1	0.111784081167214	0.689096013798177	0.0990768154808357	0.100043089553773
"46"	45	5	2	1	0.75	0.3333333	3200000	2	"Wetter og hlýrri "	0	0.0868561463857234	0.799603583327579	0.0572505859919671	0.0562896842947301
"47"	46	2	1	1	1	0.3333333	800000	3	"Barnabörn okkar koma til að fordæma kynslóð okkar sem við gerðum ekki það sem þarf "	1	0.150840468251516	0.091099236470904	0.498404965565969	0.259655329711611
"48"	47	6	1	0	0.25	0.3333333	450000	3	"Spring Trúarbrögð þar sem helvíti er skipt út fyrir loftslagsbreytingu "	1	0.192888709242182	0.0766686708885139	0.40834458503673	0.322098034832574
"51"	50	2	1	1	0.75	0.3333333	510000	3	"Veðurvandamál: Hærri hitastig Greater sveiflur Ice Melting / Hærra vatnsborðsvindur og úrkoma "	1	0.0553752832948651	0.859494600169422	0.0428218136148139	0.0423083029208987
"54"	53	5	2	1	0.5	0.3333333	370000	2	"Veðurskilyrði "	0	0.115401406748687	0.726786507001282	0.0777497793656596	0.0800623068843713
"55"	54	2	2	0	0.5	0.6666667	270000	2	"Veðurskilyrði "	0	0.168333729675229	0.56478807092882	0.162261525119679	0.104616674276271
"56"	55	3	2	0	0.25	0.3333333	425000	2	"Veðurföt "	0	0.271792561463103	0.205189628542946	0.302218942026695	0.220798867967257
"57"	56	6	2	0	0.25	0	180000	2	"Veðurföt "	0	0.269216566359686	0.251804809709966	0.245465751177534	0.233512872752813
"58"	57	5	1	1	0.75	0.6666667	570000	2	"Veðurbreytingar og tíðari erfiðleikar "	0	0.0944317329987163	0.775247273696368	0.0697653672395113	0.0605556260654045
"59"	58	4	2	1	0.5	0.6666667	400000	3	"Veður breytist mikið af úrkomu og vindi "	1	0.149101737717652	0.654903330678173	0.102917885092965	0.0930770465112097
"60"	59	5	2	1	1	0.3333333	548000	1	"Veður breytist meira Extreme Weather "	0	0.0682599277384471	0.856376140161141	0.0400224288787085	0.0353415032217035
"61"	60	4	1	1	0.75	0.3333333	520000	3	"Veður BREYTA MATKRICES WATER CRISIS OZONE LAYER "	1	0.172825467451307	0.504149245178106	0.168975470944851	0.154049816425736
"62"	61	2	2	1	0.75	0.3333333	120000	2	"Veður breytir Brugence. "	0	0.098799748305762	0.755576703087235	0.0788467389607989	0.0667768096462039
"63"	62	3	2	0	0.5	0.6666667	430000	3	"Veðurbreytingar "	1	0.150844640484914	0.600022857015451	0.144548742745765	0.10458375975387
"64"	63	4	2	1	0.25	0.3333333	350000	2	"Veðurbreytingar "	0	0.121916616975977	0.713233650845334	0.0801424873638625	0.0847072448148264
"65"	64	5	1	1	0.5	0	240000	2	"Veðurbreytingar "	0	0.122782110592742	0.676136610639809	0.0936016358967282	0.107479642870721
"66"	65	4	2	1	0.5	0.3333333	410000	3	"Veðurbreytingar "	1	0.109226908677345	0.720040884125507	0.0834339426477866	0.0872982645493615
"67"	66	5	2	1	0.75	0.6666667	420000	3	"Veðurbreytingar "	1	0.104671769928127	0.739161436156383	0.0819664638441934	0.0742003300712969
"68"	67	3	1	0	0.25	0	650000	2	"Veðurbreytingar "	0	0.168490445878645	0.531722389923794	0.156279243991791	0.14350792020577
"69"	68	4	2	1	0.5	0.3333333	460	2	"Veðurbreytingar "	0	0.120401814478101	0.707768407226383	0.0868391448543406	0.0849906334411746
"70"	69	5	2	1	0.25	0	400	2	"Veðurbreytingar "	0	0.115006881713205	0.72608514510211	0.0705441995511982	0.088363773633486
"71"	70	3	1	0	0.75	0.6666667	0	0	"Veðrið og þegar það verður snjór "	0	0.211246125289619	0.312990759545871	0.286479088276915	0.189284026887595
"72"	71	2	1	1	0.75	0.3333333	324000	1	"Veðrið hefur breyst "	0	0.221181829803651	0.32247830622493	0.281056287760075	0.175283576211343
"73"	72	2	2	1	0.75	0.3333333	308000	2	"Veðrið breytist "	0	0.127209624681601	0.676566265796009	0.107589186949664	0.0886349225727266
"74"	73	6	2	1	0.75	0	271047	2	"Veðrið hefur breyst Snjórinn er svo óhreinn rigning er óhreinn "	0	0.195631855590787	0.409754407263234	0.222238428606513	0.172375308539466
"75"	74	5	1	0	0.5	0.6666667	260000	3	"verið "	1	0.210539745411145	0.123239143428428	0.419033455231701	0.247187655928727
"76"	75	4	2	1	0.5	0.3333333	280000	1	"verið "	0	0.237391099975339	0.196234648659048	0.337054454162702	0.229319797202912
"77"	76	3	2	0	0.5	0.3333333	500000	2	"Verið "	0	0.221665112796092	0.115281973059039	0.423152932117121	0.239899982027748
"78"	77	3	2	0	0.5	0	351000	1	"Verið "	0	0.229628949177221	0.104450567134305	0.417518190510919	0.248402293177554
"79"	78	5	2	1	0.5	0.6666667	350000	2	"Verið "	0	0.229650142481024	0.229039635845219	0.322291219936818	0.219019001736939
"80"	79	3	2	1	0.5	0.3333333	100000	3	"verið "	1	0.203155303039158	0.199921994528357	0.343367743987742	0.253554958444742
"81"	80	3	2	1	0.5	0.6666667	250000	2	"verið "	0	0.224536142750373	0.194853505287397	0.359205446440224	0.221404905522005
"82"	81	1	1	1	0.25	0.6666667	40000	2	"Verið "	0	0.214638926973511	0.135099972625975	0.407414030096425	0.242847070304088
"83"	82	4	2	1	0.75	0.3333333	452000	0	"Verið "	0	0.24529657844343	0.180946316126585	0.360467061081402	0.213290044348583
"85"	84	1	2	1	0.75	0.3333333	0	3	"Ábyrgð "	1	0.218841898025076	0.263210928697956	0.29726822980472	0.220678943472247
"86"	85	2	1	1	0.75	0.3333333	490000	2	"Vera útskrift umhverfi "	0	0.187284164640448	0.104264463930011	0.415382500424759	0.293068871004782
"87"	86	3	1	1	0.75	0.3333333	490000	3	"Vera vakt "	1	0.187530171498364	0.183402809629264	0.326072260502669	0.302994758369703
"88"	87	3	2	1	0.75	0.3333333	650000	3	"Vera rigning CO2. "	1	0.161926455127118	0.462770656601878	0.186898755796353	0.188404132474651
"89"	88	4	1	1	0.75	0.3333333	350000	2	"Veður og Tempratural breytingar "	0	0.111754826741279	0.712601790284941	0.0919703247706893	0.0836730582030912
"90"	89	6	1	1	1	0.6666667	450000	3	"Vera og hitastig endar "	1	0.15929918672097	0.473408096472574	0.187713165381095	0.179579551425361
"91"	90	3	2	1	0.75	0.3333333	0	3	"Veður og ísbræðsla "	1	0.0850244672731454	0.783424592334952	0.0674043691160423	0.0641465712758607
"92"	91	2	2	1	0.75	0.3333333	60000	3	"Veður Forand Global Warming Ozone gerði mengun loftsins "	1	0.120244545478511	0.697068492778428	0.0971241511015812	0.0855628106414799
"93"	92	3	2	1	1	0.6666667	430000	3	"Vera flóð snjóbræðsluhiti "	1	0.161873378779989	0.463613697647239	0.203989545197368	0.170523378375405
"94"	93	3	2	1	1	0.3333333	740000	3	"Veður (stormur aukalega kalt auka heitur stöng bráðnun) og ósonlag "	1	0.0524982545654204	0.874052326707848	0.0381499742266866	0.0352994445000451
"95"	94	4	1	0	0.5	0.6666667	500000	1	"Veðurföt "	0	0.281349519577231	0.173908415635906	0.342833936183131	0.201908128603732
"96"	95	5	2	1	0.75	0.3333333	570000	3	"veðurföt "	1	0.219825840124887	0.340952661875136	0.230807111476912	0.208414386523065
"97"	96	3	2	1	0.75	0.3333333	470000	3	"Veðurföt "	1	0.220332454260333	0.301294584339446	0.263061645152393	0.215311316247828
"98"	97	5	1	1	0.75	0.6666667	370000	2	"Veðurföt "	0	0.240679467019964	0.289373202682804	0.269030051411546	0.200917278885686
"99"	98	5	1	1	0.75	0.3333333	540000	3	"veðurföt "	1	0.217446164412853	0.295784051582354	0.256782969042023	0.229986814962769
"100"	99	4	1	1	0.5	0.3333333	500000	3	"Veðurföt "	1	0.223489232774661	0.282311558931756	0.257568701593186	0.236630506700397
"101"	100	3	2	0	0.25	0.3333333	530000	3	"veðurföt "	1	0.25370860967034	0.216277609864994	0.297721945597237	0.232291834867429
"103"	102	7	1	1	0.75	0	400000	3	"Ofbeldi vera sjó hækkandi "	1	0.106345506220323	0.682141924308986	0.0870967536814033	0.124415815789287
"104"	103	4	2	1	0.5	0.6666667	550000	3	"Ofbeldi stormur ís bráðna sjávar stig rís örvæntingarfullt fólk eyðileggingu vaxandi munur "	1	0.0757836057078785	0.81561817279709	0.0588989164363202	0.0496993050587108
"105"	104	5	2	1	0.5	0.6666667	290000	3	"Winters verða mildari og wetter meira öfgafullt veður "	1	0.0902290361120021	0.773622596440399	0.0631899269047225	0.0729584405428768
"106"	105	3	2	1	0.75	0.6666667	748000	3	"Vetrar stormar "	1	0.0863395623613139	0.787090796414205	0.0685852727843407	0.0579843684401401
"107"	106	6	1	0	0.25	0.3333333	300000	1	"Vetur er alveg eins og kalt "	0	0.224313032573938	0.441191917098689	0.191798423122861	0.142696627204513
"108"	107	2	2	1	0.75	0.6666667	390000	3	"Vetur fær heitt og snjór og kalt hverfur = neikvæð "	1	0.0952123134094445	0.778982776030096	0.0695680983945823	0.0562368121658774
"109"	108	6	1	1	1	0.6666667	40000	1	"Vindur "	0	0.130203219771297	0.683675903373379	0.105469022609704	0.0806518542456207
"110"	109	1	2	0	0.5	0.3333333	0	2	"Windmills vera bíll strætó skóla áætlun "	0	0.245943328710465	0.123723606468501	0.368412978200004	0.26192008662103
"111"	110	6	1	1	0.75	0.6666667	800000	3	"Vindur vatn loft "	1	0.0686812191055985	0.837556688596113	0.0470592423389789	0.0467028499593101
"112"	111	6	1	1	0.75	0.6666667	350000	1	"vindur rigningar hamfarir "	0	0.0998803264208245	0.779081107544194	0.0652938016967	0.0557447643382813
"113"	112	5	2	1	0.75	0.6666667	700000	3	"Vindur og rigning neikvæð ógnandi "	1	0.0664855309843374	0.848794398030013	0.0434358177446938	0.0412842532409558
"114"	113	3	1	0	0.5	0.3333333	630000	3	"Vindur og úrkoma "	1	0.115764071444479	0.688553481651157	0.10611580752061	0.0895666393837541
"115"	114	3	2	1	0.25	0.6666667	150000	1	"Vindur og flóð "	0	0.10656804625558	0.77673866034035	0.0626236823664147	0.0540696110376553
"116"	115	5	1	1	0.5	0.3333333	190000	1	"Vindur úrkomu. "	0	0.103326073254442	0.766433773886125	0.0655335192817088	0.0647066335777237
"117"	116	4	1	1	0.5	0.6666667	0	2	"Finna. "	0	0.218359036225803	0.174407442447481	0.369899776078737	0.237333745247979
"119"	118	4	2	1	0.75	0.6666667	150000	3	"Villers Wetter og hlýrri! "	1	0.083309741080987	0.799273714926688	0.0621984063526486	0.0552181376396763
"120"	119	6	2	0	0.75	0.3333333	350000	3	"Wilders hlýrri wetter. "	1	0.082322071756728	0.807195301631184	0.0572973575003449	0.0531852691117433
"121"	120	2	2	1	1	0.3333333	450000	1	"Villare Wetare Veðurlos á ýmsum dýrategundum TD Polar Bears Man-Made og það verður að tilkynna áður en það er forseint Við höfum ekki góðan tíma þar sem það getur verið seiði "	0	0.190345512607057	0.129784674384073	0.433266544704735	0.246603268304135
"122"	121	6	2	1	0.5	0.3333333	162000	1	"Mun það leiða til betri veðurs - eða verra veður? "	0	0.23488699076823	0.262585769557964	0.193589337772774	0.308937901901033
"123"	122	1	2	0	0.5	0.3333333	100000	1	"Mikilvægt að sjá um loftslagið "	0	0.280923455614818	0.107925341004136	0.403998464445072	0.207152738935974
"124"	123	1	1	0	0.5	0.3333333	100000	2	"Mikilvægt efni sem ætti að taka alvarlega "	0	0.172441382127845	0.0343110341112439	0.586318182150826	0.206929401610086
"125"	124	1	2	1	1	0.6666667	120000	3	"Mikilvægt (fyrsta orð sem ég var að hugsa um) (þá :) Flestir eru sammála í dag að loftslagsbreytingar séu tilbúnar en færir að hugsa um að eigin aðgerðir manns eða almennt eigin lífsstíl hafi áhrif á loftslagið \"Já, einn ætti líklega að gera það\" er staðlað að Komdu þegar ég reyni að hafa áhrif á næstum að taka loftslagsvænt val en ég er að upplifa slæmt að eitthvað sé gert "	1	0.222702982635362	0.0558412652437554	0.488273852862343	0.233181899258539
"126"	125	5	1	1	0.75	0.6666667	900000	2	"Mikilvægt "	0	0.213574626021653	0.185197880147183	0.369782388360291	0.231445105470874
"127"	126	5	2	0	0.5	0.6666667	245000	1	"Við eyðileggum heiminn okkar - ósonlagið - sorp "	0	0.2248695680241	0.0744051955268852	0.455627237016302	0.245097999432713
"128"	127	4	1	1	0.5	0.6666667	430000	2	"Við munum vinna fyrir loftslag en lifa og ferðast eins og fyrir peningastefnuna "	0	0.179952788746547	0.0776748473405837	0.471987954364605	0.270384409548264
"129"	128	6	1	1	0.75	0.3333333	230000	2	"Við sjáum niðurstöðu loftslagsbreytinga daglega nú meira náttúruhamfarir "	0	0.16571287351618	0.457025422750194	0.194489937247	0.182771766486626
"130"	129	7	1	1	0.75	0.6666667	500000	2	"Við verðum að vera betra að vista allt: Létt bíll skjóta matarvenjur borða meira nær framleiddan mat skera út mikið af innflutningi að borða norska kartöflur og epli osfrv. Við höfum ótrúlega ilmandi í matnum, sjá að fullu hrár körfum fólk stinga við USD (oft ) Matur fer í fjöllin í stað suðurs! "	0	0.300798387512432	0.108452925133693	0.371300185264898	0.219448502088977
"131"	130	2	1	1	0.75	0.6666667	420000	3	"Við verðum að laga sig að breytingum sem gerast á jörðinni Við vitum að þessar breytingar eiga sér stað og við ættum að vinna með lausnir ekki ræða hvort þetta sé tilbúið eða ekki að nota jarðefnaeldsneyti er takmörkuð auðlind og við ættum að vinna að því að gera okkur miklu minna háð því að til lengri tíma litið sjálfbæra nýtingu auðlinda, þar á meðal orkuframleiðslu, ein mikilvægasta lausnir sem við ættum að vinna með tækni og þróun og breytingu í burtu frá efnishyggju heimsins er leiðin til að fara "	1	0.212923810191825	0.0244461110732105	0.550960259362948	0.211669819372016
"132"	131	2	1	1	0.5	0.3333333	14000	2	"Við verðum að hugsa um það en við verðum ekki að gera neinar gjöld fyrir þetta vegna þess að það er bankað með allan heiminn sem það gerir ekkert gegn loftslagsbreytingum ef aðeins Noregur stundaði "	0	0.153511733683343	0.0245326570618653	0.452427011680484	0.369528597574307
"133"	132	2	1	1	1	0.6666667	13500	2	"Við verðum að standa saman til að tryggja næstu kynslóð hvað varðar loftslag "	0	0.174728541734816	0.305832671442922	0.353208628080267	0.166230158741995
"134"	133	5	2	1	0.75	0.6666667	350000	2	"Við verðum að draga úr losun og endurnýja bílastæði til umhverfisvænni "	0	0.189051197271665	0.0968957613176954	0.450178643168745	0.263874398241895
"135"	134	7	2	1	1	0.3333333	200000	3	"Við verðum að gera eitthvað um það! Maður veit að maður verður að byrja með sjálfum sér hver og einn okkar verður að byrja að lifa meira umhverfisvænni telur að maður hafi langa leið til að fara! "	1	0.140011591004927	0.0547545362819188	0.493923213312197	0.311310659400958
"136"	135	5	1	1	1	0.6666667	400000	3	"Við verðum að gera eitthvað til að koma niður losuninni "	1	0.147824930127079	0.0605288672569232	0.394790107049967	0.396856095566031
"137"	136	1	2	1	0.75	0.3333333	20000	1	"Við verðum að gera eitthvað "	0	0.186100501544501	0.0690889212021584	0.450394317778347	0.294416259474993
"138"	137	6	1	1	1	0.6666667	310000	2	"Við verðum að gera meira á svæðum sem eru um endurnýjanlega orku sem og stöðva sökkva og nýta regnskógana þá sem framkvæma umhverfisbrot verða að vera refsað miklu erfiðara "	0	0.181154813144839	0.156619683463079	0.436585779754131	0.225639723637951
"139"	138	3	2	1	0.75	0.6666667	300000	2	"Við verðum að gera meira til að bjarga jarðvegi! "	0	0.186838006397753	0.171192926580174	0.401597818931856	0.240371248090217
"140"	139	2	1	1	0.75	0.3333333	560000	2	"Við þurfum að komast út á fingurna "	0	0.182157574060002	0.0904440917902248	0.476591048492075	0.250807285657698
"141"	140	3	1	1	0.5	0.6666667	320000	3	"Við verðum að fá öll stóru löndin að skrifa undir \"Kyoto-samninginn\" og binda þar til þetta gerist svo og setja þrýsting á smærri löndin hjálpa okkur ekki að fara langt á undan öllu "	1	0.114972890191565	0.0209690600883416	0.567767570124391	0.296290479595703
"142"	141	2	2	1	0.5	0.3333333	0	1	"Við verðum að menga minni og hjálpa þeim löndum sem mest verða fyrir þessu "	0	0.164451040507387	0.0321924955321349	0.547073903755658	0.25628256020482
"143"	142	3	1	1	1	0	550000	3	"Við getum gert miklu meira en það sem við gerum núna "	1	0.156921105470577	0.109765256418459	0.467475859584578	0.265837778526386
"144"	143	4	1	1	0.75	0.6666667	360000	3	"Við höfum slæmt tíma "	1	0.209941037585201	0.287919645697454	0.310425332124987	0.191713984592358
"145"	144	5	1	0	0.5	0.3333333	390000	2	"Við höfum alltaf haft meiriháttar eða minniháttar breytingar "	0	0.198573517221603	0.0695839214499143	0.397811653409122	0.33403090791936
"146"	145	5	1	1	0.75	0.3333333	660000	3	"Við neytum fossaeldsneyti skelfilegt hratt "	1	0.192850352235639	0.189833614754271	0.352794616892633	0.264521416117457
"147"	146	2	1	0	0.25	0.6666667	436000	3	"Við munum fljótlega finna tæknilegar lausnir á öllum þessum málum "	1	0.178249359271665	0.0413438696125014	0.550081754166319	0.230325016949515
"148"	147	1	2	1	0.5	0.6666667	0	2	"Við gætum þurft að gera eitthvað um loftslagsbreytingar "	0	0.222367549783498	0.105118377510433	0.382608727394147	0.289905345311922
"149"	148	1	2	1	0.75	0.3333333	66000	2	"Við ættum að byrja að hugsa um það mikið af því sem við gerum er að kenna fyrir loftslagsbreytingum eins og Typhoon Tsunami osfrv "	0	0.198138967152086	0.0908061087983604	0.492977160715151	0.218077763334403
"150"	149	1	2	0	0.75	0	150000	1	"Veit ekki ekki að setja mig inn í heiminn okkar svo að "	0	0.142543387445205	0.0225087452618435	0.570372709386429	0.264575157906523
"151"	150	5	1	1	1	0.6666667	700000	3	"Heimssamfélagið ætti að sjá B og "	1	0.212335793325713	0.178714780649042	0.372750926698218	0.236198499327027
"152"	151	4	2	1	1	0	378350	3	"Lok heimsins "	1	0.183815117261536	0.226624398008956	0.290554472356452	0.299006012373056
"153"	152	4	1	0	0.25	0.3333333	579000	0	"Stærsta svik heimsins getur haft áhrif á umhverfið en ekki loftslagið "	0	0.21493247188786	0.0382772818649114	0.479271918809165	0.267518327438064
"154"	153	6	1	1	0.75	0.6666667	360000	2	"Tíminn heimsins í gegnum aldirnar "	0	0.242316256234497	0.209075282351554	0.290016363833092	0.258592097580856
"155"	154	4	2	1	1	0.6666667	250000	3	"Heimurinn er að fara að fara að neðan Ef við gerum okkur grein fyrir því að við verðum að taka þetta alvarlega, stöngin bráðnar í upptökuhraða Lítil og stór náttúruleg hörmungar eru í því ferli að auka í umfangi margra verktaka í því ferli að auka fjárhagslega og eru að menga meira í framtíðinni, allir verða að skerpa ekki að minnsta kosti í Bandaríkjunum og Evrópu "	1	0.127989869651416	0.148360823681909	0.426726640023994	0.296922666642682
"156"	155	3	1	1	0.25	0.3333333	900000	2	"heimurinn breytinga og við verðum að laga sig "	0	0.17843251879436	0.0600932777964976	0.508226365286655	0.253247838122487
"157"	156	6	1	0	0	0	520000	3	"Heimurinn hefur alltaf upplifað loftslagsbreytingar líka lengi áður en maðurinn gat haft áhrif á þróunina enn frekar er að heimurinn fer Henimot nýtt ísöld, kannski svokölluð tilbúið \"loftslagsbreytingar\" getur hjálpað til við að afhjúpa þessa ógnvekjandi Senario "	1	0.237207284396137	0.0378630002375298	0.350950070182222	0.373979645184111
"158"	157	4	1	1	0.75	1	550000	2	"Heimurinn verður verri "	0	0.204014705082427	0.11547146545851	0.463439083282268	0.217074746176795
"159"	158	2	1	0	1	0.6666667	14000	1	"Heimurinn "	0	0.200940771784073	0.0711199964294441	0.525043375390251	0.202895856396232
"160"	159	1	2	1	0.5	0.3333333	100000	2	"Mjög kjóll "	0	0.243021564245536	0.257129621325834	0.285792123576378	0.214056690852253
"161"	160	3	1	1	1	0.6666667	0	2	"Mjög truflandi "	0	0.231001815357975	0.246363173334518	0.320832527224443	0.201802484083064
"162"	161	3	1	1	1	0.6666667	140	2	"Mjög lýst mjög slæmt yfirleitt "	0	0.225717256855577	0.398806967086532	0.225191027041617	0.150284749016274
"164"	163	5	2	1	0.5	0.3333333	440000	3	"Heitt blautt veður og sjó hækkun "	1	0.0574050085443155	0.872166535366558	0.0324524814694138	0.0379759746197124
"165"	164	4	1	1	0	0.3333333	150000	2	"Heitt veður eldsneytisskortur og atvinnuleysi og líklega mat og læknisfræðileg vandamál Heilbrigðismál almennt "	0	0.256197407312349	0.38979642199841	0.162997087077351	0.19100908361189
